Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Franklin district","Dec-99",109995100,
"Total earnings","Hauraki district","Dec-99",27316200,
"Total earnings","Franklin district","Sep-99",101839900,
"Total earnings","Manukau city","Sep-99",784707000,
"Total earnings","Papakura district","Sep-99",98681500,
"Total earnings","Thames-Coromandel district","Sep-99",40863600,
"Total earnings","Waitakere city","Sep-99",274107600,
"Total earnings","Auckland city","Sep-99",2435813000,
"Total earnings","Rodney district","Sep-99",98874800,
"Total earnings","Kaipara district","Sep-99",21604500,
"Total earnings","North Shore city","Sep-99",507384900,
"Total earnings","Whangarei district","Sep-99",155582700,
"Total earnings","Far North district","Sep-99",73494700,
"Total earnings","Whangarei district","Jun-99",150841600,
"Total earnings","Kaipara district","Jun-99",21803900,
"Total earnings","Far North district","Jun-99",73322300,
"Total earnings","Rodney district","Jun-99",96222400,
"Total earnings","North Shore city","Jun-99",487336200,
"Total earnings","Waitakere city","Jun-99",262906800,
"Total earnings","Auckland city","Jun-99",2335258300,
"Total earnings","Manukau city","Jun-99",759864500,
"Total earnings","Papakura district","Jun-99",96280200,
"Total earnings","Franklin district","Jun-99",100096000,
"Total earnings","Thames-Coromandel district","Jun-99",40633700,
"Total earnings","Ruapehu district (modified)","Sep-00",37302200,
"Total earnings","Wanganui district","Sep-00",104071100,
"Total earnings","Rangitikei district (modified)","Sep-00",24866000,
"Total earnings","Manawatu district","Sep-00",46560700,
"Total earnings","Palmerston North city","Sep-00",260663000,
"Total earnings","Tararua district","Sep-00",32699300,
"Total earnings","Horowhenua district","Sep-00",49593500,
"Total earnings","Kapiti Coast district","Sep-00",52913800,
"Total earnings","Porirua city","Sep-00",91555000,
"Total earnings","Upper Hutt city","Sep-00",72395000,
"Total earnings","Lower Hutt city","Sep-00",321334100,
"Total earnings","Wellington city","Sep-00",1205595200,
"Total earnings","Masterton district","Sep-00",51600000,
"Total earnings","Carterton district","Sep-00",12548800,
"Total earnings","South Wairarapa district","Sep-00",11063700,
"Total earnings","Tasman district","Sep-00",73763800,
"Total earnings","Nelson city","Sep-00",142420400,
"Total earnings","Marlborough district","Sep-00",92684600,
"Total earnings","Kaikoura district","Sep-00",5378100,
"Total earnings","Buller district","Sep-00",19330600,
"Total earnings","Grey district","Sep-00",34580700,
"Total earnings","Westland district","Sep-00",16245900,
"Total earnings","Hurunui district","Sep-00",12435200,
"Total earnings","Waimakariri district","Sep-00",44725400,
"Total earnings","Christchurch city (modified)","Sep-00",1113924200,
"Total earnings","Selwyn district","Sep-00",54491500,
"Total earnings","Ashburton district","Sep-00",64869800,
"Total earnings","Timaru district","Sep-00",101765900,
"Total earnings","Mackenzie district","Sep-00",6879600,
"Total earnings","Waimate district","Sep-00",9050600,
"Total earnings","Waitaki district","Sep-00",42786700,
"Total earnings","Central Otago district","Sep-00",31109500,
"Total earnings","Queenstown-Lakes district","Sep-00",53043600,
"Total earnings","Dunedin city","Sep-00",318972200,
"Total earnings","Clutha district","Sep-00",37008000,
"Total earnings","Southland district","Sep-00",61973500,
"Total earnings","Gore district","Sep-00",32623600,
"Total earnings","Invercargill city","Sep-00",145565300,
"Total earnings","Gore district","Jun-00",37344300,
"Total earnings","Invercargill city","Jun-00",145369100,
"Total earnings","Clutha district","Jun-00",39391200,
"Total earnings","Southland district","Jun-00",71503800,
"Total earnings","Queenstown-Lakes district","Jun-00",46473900,
"Total earnings","Dunedin city","Jun-00",321607000,
"Total earnings","Waitaki district","Jun-00",46802400,
"Total earnings","Central Otago district","Jun-00",30602900,
"Total earnings","Mackenzie district","Jun-00",7048600,
"Total earnings","Waimate district","Jun-00",8562100,
"Total earnings","Ashburton district","Jun-00",66944800,
"Total earnings","Timaru district","Jun-00",104130600,
"Total earnings","Christchurch city (modified)","Jun-00",1098041500,
"Total earnings","Selwyn district","Jun-00",53170400,
"Total earnings","Hurunui district","Jun-00",12365200,
"Total earnings","Waimakariri district","Jun-00",42530900,
"Total earnings","Grey district","Jun-00",36509700,
"Total earnings","Westland district","Jun-00",16832500,
"Total earnings","Kaikoura district","Jun-00",5739500,
"Total earnings","Buller district","Jun-00",18666800,
"Total earnings","Nelson city","Jun-00",134514100,
"Total earnings","Marlborough district","Jun-00",92024400,
"Total earnings","South Wairarapa district","Jun-00",11587100,
"Total earnings","Tasman district","Jun-00",79987700,
"Total earnings","Masterton district","Jun-00",51664600,
"Total earnings","Carterton district","Jun-00",12999300,
"Total earnings","Lower Hutt city","Jun-00",316152400,
"Total earnings","Wellington city","Jun-00",1128021200,
"Total earnings","Porirua city","Jun-00",89692900,
"Total earnings","Upper Hutt city","Jun-00",74252000,
"Total earnings","Horowhenua district","Jun-00",50180300,
"Total earnings","Kapiti Coast district","Jun-00",53684700,
"Total earnings","Palmerston North city","Jun-00",265623300,
"Total earnings","Tararua district","Jun-00",33087400,
"Total earnings","Rangitikei district (modified)","Jun-00",25263500,
"Total earnings","Manawatu district","Jun-00",48158800,
"Total earnings","Ruapehu district (modified)","Jun-00",35327000,
"Total earnings","Wanganui district","Jun-00",101978900,
"Total earnings","Stratford district","Jun-00",13371600,
"Total earnings","South Taranaki district","Jun-00",77774100,
"Total earnings","Central Hawke's Bay district","Jun-00",30729200,
"Total earnings","New Plymouth district","Jun-00",178007600,
"Total earnings","Waikato district","Jun-00",60675500,
"Total earnings","Matamata-Piako district","Jun-00",67737700,
"Total earnings","Hamilton city","Jun-00",414558400,
"Total earnings","Waipa district","Jun-00",72828500,
"Total earnings","Otorohanga district","Jun-00",16080700,
"Total earnings","South Waikato district","Jun-00",71254300,
"Total earnings","Waitomo district (modified)","Jun-00",22731300,
"Total earnings","Taupo district (modified)","Jun-00",69296800,
"Total earnings","Western Bay of Plenty district","Jun-00",64808600,
"Total earnings","Tauranga city","Jun-00",236430700,
"Total earnings","Rotorua district","Jun-00",173637700,
"Total earnings","Whakatane district (modified)","Jun-00",63319700,
"Total earnings","Kawerau district","Jun-00",37781700,
"Total earnings","Opotiki district","Jun-00",13325700,
"Total earnings","Gisborne district","Jun-00",99143200,
"Total earnings","Wairoa district","Jun-00",18697500,
"Total earnings","Hastings district (modified)","Jun-00",182081700,
"Total earnings","Napier city","Jun-00",140499400,
"Total earnings","Napier city","Mar-00",136706400,
"Total earnings","Gisborne district","Mar-00",101808500,
"Total earnings","Wairoa district","Mar-00",18184200,
"Total earnings","Kawerau district","Mar-00",40110200,
"Total earnings","Opotiki district","Mar-00",11389500,
"Total earnings","Whakatane district (modified)","Mar-00",61983800,
"Total earnings","Tauranga city","Mar-00",230122100,
"Total earnings","Western Bay of Plenty district","Mar-00",49917600,
"Total earnings","Rotorua district","Mar-00",170471200,
"Total earnings","Taupo district (modified)","Mar-00",68904100,
"Total earnings","Waitomo district (modified)","Mar-00",22262500,
"Total earnings","South Waikato district","Mar-00",65546300,
"Total earnings","Otorohanga district","Mar-00",15641600,
"Total earnings","Waipa district","Mar-00",70017300,
"Total earnings","Waikato district","Mar-00",59679300,
"Total earnings","Hamilton city","Mar-00",402631900,
"Total earnings","Matamata-Piako district","Mar-00",65004900,
"Total earnings","New Plymouth district","Mar-00",177517400,
"Total earnings","Hastings district (modified)","Mar-00",177554600,
"Total earnings","Central Hawke's Bay district","Mar-00",31395400,
"Total earnings","South Taranaki district","Mar-00",78895000,
"Total earnings","Wanganui district","Mar-00",103630400,
"Total earnings","Stratford district","Mar-00",12867800,
"Total earnings","Manawatu district","Mar-00",47270600,
"Total earnings","Ruapehu district (modified)","Mar-00",34461600,
"Total earnings","Tararua district","Mar-00",34113300,
"Total earnings","Palmerston North city","Mar-00",250959400,
"Total earnings","Rangitikei district (modified)","Mar-00",25803900,
"Total earnings","Kapiti Coast district","Mar-00",53372500,
"Total earnings","Upper Hutt city","Mar-00",74329400,
"Total earnings","Horowhenua district","Mar-00",47012300,
"Total earnings","Wellington city","Mar-00",1219484900,
"Total earnings","Porirua city","Mar-00",87239600,
"Total earnings","Carterton district","Mar-00",12178700,
"Total earnings","Tasman district","Mar-00",78995400,
"Total earnings","Masterton district","Mar-00",49119800,
"Total earnings","Lower Hutt city","Mar-00",315571400,
"Total earnings","Marlborough district","Mar-00",92699800,
"Total earnings","South Wairarapa district","Mar-00",11359500,
"Total earnings","Buller district","Mar-00",19001000,
"Total earnings","Nelson city","Mar-00",132745600,
"Total earnings","Westland district","Mar-00",18552000,
"Total earnings","Grey district","Mar-00",34440700,
"Total earnings","Kaikoura district","Mar-00",6776800,
"Total earnings","Waimakariri district","Mar-00",43267700,
"Total earnings","Selwyn district","Mar-00",53634200,
"Total earnings","Hurunui district","Mar-00",12719700,
"Total earnings","Timaru district","Mar-00",104156300,
"Total earnings","Christchurch city (modified)","Mar-00",1081972500,
"Total earnings","Waimate district","Mar-00",9280500,
"Total earnings","Central Otago district","Mar-00",33741300,
"Total earnings","Mackenzie district","Mar-00",7868300,
"Total earnings","Ashburton district","Mar-00",67984100,
"Total earnings","Dunedin city","Mar-00",311249000,
"Total earnings","Waitaki district","Mar-00",45962400,
"Total earnings","Southland district","Mar-00",79564300,
"Total earnings","Queenstown-Lakes district","Mar-00",56009400,
"Total earnings","Invercargill city","Mar-00",142200800,
"Total earnings","Clutha district","Mar-00",40703200,
"Total earnings","Gore district","Mar-00",36946100,
"Total earnings","Gore district","Dec-99",31954600,
"Total earnings","Invercargill city","Dec-99",155317200,
"Total earnings","Clutha district","Dec-99",36217000,
"Total earnings","Southland district","Dec-99",69291000,
"Total earnings","Queenstown-Lakes district","Dec-99",63971700,
"Total earnings","Dunedin city","Dec-99",336884800,
"Total earnings","Mackenzie district","Dec-99",7649000,
"Total earnings","Waitaki district","Dec-99",43478400,
"Total earnings","Central Otago district","Dec-99",32390400,
"Total earnings","Waimate district","Dec-99",9746800,
"Total earnings","Ashburton district","Dec-99",67000100,
"Total earnings","Timaru district","Dec-99",103061200,
"Total earnings","Christchurch city (modified)","Dec-99",1156015500,
"Total earnings","Selwyn district","Dec-99",54451000,
"Total earnings","Waimakariri district","Dec-99",45590100,
"Total earnings","Grey district","Dec-99",34557300,
"Total earnings","Hurunui district","Dec-99",12399800,
"Total earnings","Westland district","Dec-99",19261900,
"Total earnings","Kaikoura district","Dec-99",6876400,
"Total earnings","Buller district","Dec-99",19863600,
"Total earnings","Nelson city","Dec-99",138028200,
"Total earnings","Marlborough district","Dec-99",95255300,
"Total earnings","Masterton district","Dec-99",54433900,
"Total earnings","South Wairarapa district","Dec-99",12189600,
"Total earnings","Tasman district","Dec-99",73642000,
"Total earnings","Carterton district","Dec-99",13784200,
"Total earnings","Lower Hutt city","Dec-99",335848700,
"Total earnings","Wellington city","Dec-99",1216154200,
"Total earnings","Porirua city","Dec-99",92613300,
"Total earnings","Upper Hutt city","Dec-99",81578500,
"Total earnings","Kapiti Coast district","Dec-99",57560600,
"Total earnings","Palmerston North city","Dec-99",275340800,
"Total earnings","Horowhenua district","Dec-99",51076800,
"Total earnings","Tararua district","Dec-99",35038900,
"Total earnings","Rangitikei district (modified)","Dec-99",28552700,
"Total earnings","Manawatu district","Dec-99",48349100,
"Total earnings","Ruapehu district (modified)","Dec-99",36182600,
"Total earnings","Wanganui district","Dec-99",109932100,
"Total earnings","South Taranaki district","Dec-99",81676700,
"Total earnings","Stratford district","Dec-99",13786700,
"Total earnings","Central Hawke's Bay district","Dec-99",29914800,
"Total earnings","New Plymouth district","Dec-99",182687900,
"Total earnings","Matamata-Piako district","Dec-99",68129400,
"Total earnings","Waikato district","Dec-99",67274700,
"Total earnings","Hamilton city","Dec-99",429652200,
"Total earnings","Waipa district","Dec-99",69546700,
"Total earnings","Otorohanga district","Dec-99",19087900,
"Total earnings","South Waikato district","Dec-99",67647000,
"Total earnings","Waitomo district (modified)","Dec-99",23344700,
"Total earnings","Western Bay of Plenty district","Dec-99",53442700,
"Total earnings","Taupo district (modified)","Dec-99",72748000,
"Total earnings","Rotorua district","Dec-99",181011500,
"Total earnings","Tauranga city","Dec-99",240516400,
